Date,Hour,Tap Mun,Causeway Bay
2024-01-01,1,5.0,5.0
2024-01-01,2,5.0,5.0
2024-01-01,3,5.0,5.0
2024-01-01,4,5.0,5.0
2024-01-01,5,5.0,5.0
2024-01-01,6,5.0,5.0
2024-01-01,7,5.0,5.0
2024-01-01,8,5.0,5.0
2024-01-01,9,5.0,5.0
2024-01-01,10,5.0,5.0
2024-01-01,11,5.0,5.0
2024-01-01,12,5.0,5.0
2024-01-01,13,6.0,6.0
2024-01-01,14,6.0,6.0
2024-01-01,15,6.0,6.0
2024-01-01,16,7.0,6.0
2024-01-01,17,7.0,6.0
2024-01-01,18,7.0,7.0
2024-01-01,19,7.0,7.0
2024-01-01,20,7.0,7.0
2024-01-01,21,6.0,6.0
2024-01-01,22,6.0,6.0
2024-01-01,23,6.0,6.0
2024-01-01,24,5.0,5.0
2024-01-02,1,5.0,5.0
2024-01-02,2,5.0,5.0
2024-01-02,3,5.0,5.0
2024-01-02,4,5.0,5.0
2024-01-02,5,5.0,5.0
2024-01-02,6,5.0,5.0
2024-01-02,7,5.0,5.0
2024-01-02,8,5.0,5.0
2024-01-02,9,5.0,5.0
2024-01-02,10,5.0,5.0
2024-01-02,11,5.0,5.0
2024-01-02,12,5.0,5.0
2024-01-02,13,5.0,5.0
2024-01-02,14,5.0,5.0
2024-01-02,15,5.0,5.0
2024-01-02,16,6.0,6.0
2024-01-02,17,6.0,6.0
2024-01-02,18,6.0,6.0
2024-01-02,19,6.0,5.0
2024-01-02,20,5.0,5.0
2024-01-02,21,5.0,5.0
2024-01-02,22,4.0,5.0
2024-01-02,23,3.0,5.0
2024-01-02,24,3.0,5.0
2024-01-03,1,3.0,5.0
2024-01-03,2,3.0,5.0
2024-01-03,3,3.0,5.0
2024-01-03,4,3.0,4.0
2024-01-03,5,3.0,4.0
2024-01-03,6,3.0,4.0
2024-01-03,7,3.0,4.0
2024-01-03,8,3.0,4.0
2024-01-03,9,3.0,4.0
2024-01-03,10,3.0,4.0
2024-01-03,11,3.0,4.0
2024-01-03,12,3.0,4.0
2024-01-03,13,4.0,4.0
2024-01-03,14,4.0,4.0
2024-01-03,15,5.0,5.0
2024-01-03,16,5.0,5.0
2024-01-03,17,4.0,5.0
2024-01-03,18,4.0,5.0
2024-01-03,19,4.0,5.0
2024-01-03,20,4.0,4.0
2024-01-03,21,3.0,4.0
2024-01-03,22,3.0,4.0
2024-01-03,23,3.0,4.0
2024-01-03,24,3.0,4.0
2024-01-04,1,3.0,3.0
2024-01-04,2,3.0,3.0
2024-01-04,3,3.0,3.0
2024-01-04,4,3.0,3.0
2024-01-04,5,3.0,3.0
2024-01-04,6,3.0,3.0
2024-01-04,7,3.0,3.0
2024-01-04,8,3.0,3.0
2024-01-04,9,3.0,3.0
2024-01-04,10,3.0,4.0
2024-01-04,11,3.0,4.0
2024-01-04,12,4.0,4.0
2024-01-04,13,4.0,5.0
2024-01-04,14,5.0,5.0
2024-01-04,15,5.0,5.0
2024-01-04,16,5.0,5.0
2024-01-04,17,5.0,5.0
2024-01-04,18,5.0,5.0
2024-01-04,19,5.0,5.0
2024-01-04,20,5.0,5.0
2024-01-04,21,4.0,5.0
2024-01-04,22,4.0,5.0
2024-01-04,23,4.0,5.0
2024-01-04,24,3.0,5.0
2024-01-05,1,3.0,5.0
2024-01-05,2,3.0,5.0
2024-01-05,3,4.0,5.0
2024-01-05,4,4.0,5.0
2024-01-05,5,4.0,5.0
2024-01-05,6,4.0,5.0
2024-01-05,7,4.0,5.0
2024-01-05,8,4.0,4.0
2024-01-05,9,4.0,5.0
2024-01-05,10,4.0,5.0
2024-01-05,11,5.0,5.0
2024-01-05,12,5.0,5.0
2024-01-05,13,5.0,5.0
2024-01-05,14,6.0,6.0
2024-01-05,15,6.0,6.0
2024-01-05,16,6.0,6.0
2024-01-05,17,6.0,6.0
2024-01-05,18,6.0,5.0
2024-01-05,19,5.0,5.0
2024-01-05,20,5.0,5.0
2024-01-05,21,4.0,5.0
2024-01-05,22,4.0,5.0
2024-01-05,23,3.0,5.0
2024-01-05,24,3.0,4.0
2024-01-06,1,3.0,4.0
2024-01-06,2,2.0,4.0
2024-01-06,3,2.0,3.0
2024-01-06,4,2.0,3.0
2024-01-06,5,2.0,3.0
2024-01-06,6,2.0,3.0
2024-01-06,7,2.0,3.0
2024-01-06,8,2.0,3.0
2024-01-06,9,2.0,4.0
2024-01-06,10,3.0,4.0
2024-01-06,11,4.0,5.0
2024-01-06,12,5.0,6.0
2024-01-06,13,6.0,6.0
2024-01-06,14,7.0,6.0
2024-01-06,15,7.0,6.0
2024-01-06,16,7.0,6.0
2024-01-06,17,6.0,7.0
2024-01-06,18,6.0,7.0
2024-01-06,19,6.0,7.0
2024-01-06,20,6.0,7.0
2024-01-06,21,5.0,7.0
2024-01-06,22,5.0,6.0
2024-01-06,23,4.0,6.0
2024-01-06,24,3.0,6.0
2024-01-07,1,3.0,6.0
2024-01-07,2,3.0,6.0
2024-01-07,3,3.0,6.0
2024-01-07,4,3.0,6.0
2024-01-07,5,3.0,6.0
2024-01-07,6,4.0,6.0
2024-01-07,7,4.0,6.0
2024-01-07,8,4.0,5.0
2024-01-07,9,4.0,5.0
2024-01-07,10,4.0,5.0
2024-01-07,11,5.0,5.0
2024-01-07,12,6.0,5.0
2024-01-07,13,6.0,5.0
2024-01-07,14,6.0,5.0
2024-01-07,15,6.0,6.0
2024-01-07,16,6.0,6.0
2024-01-07,17,6.0,6.0
2024-01-07,18,6.0,6.0
2024-01-07,19,6.0,6.0
2024-01-07,20,6.0,6.0
2024-01-07,21,6.0,6.0
2024-01-07,22,6.0,6.0
2024-01-07,23,6.0,5.0
2024-01-07,24,5.0,5.0
2024-01-08,1,5.0,5.0
2024-01-08,2,5.0,5.0
2024-01-08,3,6.0,5.0
