DATE,HOUR,STATION,NO2,O3,PM10,PM2.5
2024-01-01,1,Camarones,41.00,5.00,67.00,46.00
2024-01-01,2,Camarones,41.00,1.00,84.00,66.00
2024-01-01,3,Camarones,39.00,1.00,112.00,91.00
2024-01-01,4,Camarones,37.00,2.00,126.00,104.00
2024-01-01,5,Camarones,35.00,2.00,167.00,142.00
2024-01-01,6,Camarones,32.00,1.00,149.00,128.00
2024-01-01,7,Camarones,29.00,1.00,108.00,90.00
2024-01-01,8,Camarones,28.00,1.00,108.00,95.00
2024-01-01,9,Camarones,27.00,8.00,81.00,68.00
2024-01-01,10,Camarones,24.00,29.00,70.00,58.00
2024-01-01,11,Camarones,24.00,53.00,66.00,56.00
2024-01-01,12,Camarones,15.00,74.00,87.00,72.00
2024-01-01,13,Camarones,16.00,88.00,53.00,43.00
2024-01-01,14,Camarones,16.00,104.00,58.00,47.00
2024-01-01,15,Camarones,15.00,108.00,63.00,51.00
2024-01-01,16,Camarones,12.00,91.00,45.00,35.00
2024-01-01,17,Camarones,12.00,89.00,26.00,17.00
2024-01-01,18,Camarones,14.00,86.00,26.00,20.00
2024-01-01,19,Camarones,47.00,35.00,43.00,36.00
2024-01-01,20,Camarones,43.00,26.00,39.00,24.00
2024-01-01,21,Camarones,52.00,13.00,53.00,29.00
2024-01-01,22,Camarones,41.00,13.00,56.00,29.00
2024-01-01,23,Camarones,24.00,28.00,57.00,24.00
2024-01-01,24,Camarones,38.00,12.00,46.00,23.00
2024-01-02,1,Camarones,31.00,21.00,42.00,21.00
2024-01-02,2,Camarones,27.00,20.00,31.00,15.00
2024-01-02,3,Camarones,27.00,14.00,31.00,16.00
2024-01-02,4,Camarones,28.00,11.00,31.00,19.00
2024-01-02,5,Camarones,38.00,1.00,34.00,24.00
2024-01-02,6,Camarones,38.00,1.00,40.00,27.00
2024-01-02,7,Camarones,42.00,1.00,41.00,25.00
2024-01-02,8,Camarones,41.00,1.00,51.00,32.00
2024-01-02,9,Camarones,43.00,2.00,75.00,39.00
2024-01-02,10,Camarones,49.00,6.00,82.00,35.00
2024-01-02,11,Camarones,57.00,16.00,76.00,42.00
2024-01-02,12,Camarones,40.00,31.00,78.00,46.00
2024-01-02,13,Camarones,34.00,38.00,42.00,23.00
2024-01-02,14,Camarones,24.00,52.00,36.00,19.00
2024-01-02,15,Camarones,24.00,53.00,39.00,13.00
2024-01-02,16,Camarones,22.00,56.00,34.00,24.00
2024-01-02,17,Camarones,29.00,43.00,27.00,11.00
2024-01-02,18,Camarones,30.00,36.00,34.00,3.00
2024-01-02,19,Camarones,19.00,30.00,44.00,16.00
2024-01-02,20,Camarones,23.00,21.00,32.00,14.00
2024-01-02,21,Camarones,28.00,16.00,24.00,8.00
2024-01-02,22,Camarones,47.00,7.00,26.00,6.00
2024-01-02,23,Camarones,48.00,2.00,46.00,19.00
2024-01-02,24,Camarones,52.00,1.00,46.00,21.00
2024-01-03,1,Camarones,48.00,1.00,39.00,16.00
2024-01-03,2,Camarones,47.00,1.00,45.00,22.00
2024-01-03,3,Camarones,47.00,1.00,45.00,19.00
2024-01-03,4,Camarones,46.00,1.00,55.00,27.00
2024-01-03,5,Camarones,44.00,1.00,56.00,32.00
2024-01-03,6,Camarones,44.00,1.00,43.00,18.00
2024-01-03,7,Camarones,40.00,1.00,47.00,21.00
2024-01-03,8,Camarones,42.00,1.00,38.00,20.00
2024-01-03,9,Camarones,42.00,1.00,48.00,21.00
2024-01-03,10,Camarones,50.00,3.00,50.00,18.00
2024-01-03,11,Camarones,44.00,12.00,59.00,22.00
2024-01-03,12,Camarones,44.00,23.00,72.00,19.00
2024-01-03,13,Camarones,28.00,45.00,74.00,16.00
2024-01-03,14,Camarones,26.00,53.00,32.00,14.00
2024-01-03,15,Camarones,31.00,58.00,24.00,10.00
2024-01-03,16,Camarones,38.00,63.00,29.00,14.00
2024-01-03,17,Camarones,30.00,60.00,23.00,8.00
2024-01-03,18,Camarones,32.00,34.00,46.00,23.00
2024-01-03,19,Camarones,34.00,25.00,38.00,7.00
