Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,HOUR,STATION,NO2,RSP,O3,FSP
1/1/2024,01,CAUSEWAY BAY,50,57,95,39
1/1/2024,02,CAUSEWAY BAY,37,55,104,35
1/1/2024,03,CAUSEWAY BAY,28,55,112,36
1/1/2024,04,CAUSEWAY BAY,28,61,112,40
1/1/2024,05,CAUSEWAY BAY,N.A.,60,121,39
1/1/2024,06,CAUSEWAY BAY,23,59,113,37
1/1/2024,07,CAUSEWAY BAY,34,60,102,40
1/1/2024,08,CAUSEWAY BAY,62,61,68,38
1/1/2024,09,CAUSEWAY BAY,93,64,45,40
1/1/2024,10,CAUSEWAY BAY,96,69,36,46
1/1/2024,11,CAUSEWAY BAY,101,75,40,50
1/1/2024,12,CAUSEWAY BAY,91,92,55,62
1/1/2024,13,CAUSEWAY BAY,82,87,78,59
1/1/2024,14,CAUSEWAY BAY,80,77,94,50
1/1/2024,15,CAUSEWAY BAY,100,83,80,52
1/1/2024,16,CAUSEWAY BAY,95,95,81,60
1/1/2024,17,CAUSEWAY BAY,92,92,82,58
1/1/2024,18,CAUSEWAY BAY,94,95,84,62
1/1/2024,19,CAUSEWAY BAY,101,95,77,61
1/1/2024,20,CAUSEWAY BAY,87,99,82,62
1/1/2024,21,CAUSEWAY BAY,75,93,85,59
1/1/2024,22,CAUSEWAY BAY,81,80,71,50
1/1/2024,23,CAUSEWAY BAY,107,76,44,48
1/1/2024,24,CAUSEWAY BAY,55,79,N.A.,44
2/1/2024,01,CAUSEWAY BAY,66,75,74,44
2/1/2024,02,CAUSEWAY BAY,40,75,91,44
2/1/2024,03,CAUSEWAY BAY,30,71,98,40
2/1/2024,04,CAUSEWAY BAY,32,69,97,37
2/1/2024,05,CAUSEWAY BAY,24,65,102,36
2/1/2024,06,CAUSEWAY BAY,32,61,90,32
2/1/2024,07,CAUSEWAY BAY,65,60,68,33
2/1/2024,08,CAUSEWAY BAY,71,65,51,38
2/1/2024,09,CAUSEWAY BAY,84,76,41,46
2/1/2024,10,CAUSEWAY BAY,96,75,35,44
2/1/2024,11,CAUSEWAY BAY,106,74,22,43
2/1/2024,12,CAUSEWAY BAY,101,75,34,44
2/1/2024,13,CAUSEWAY BAY,109,78,35,45
2/1/2024,14,CAUSEWAY BAY,104,87,36,54
2/1/2024,15,CAUSEWAY BAY,97,83,51,52
2/1/2024,16,CAUSEWAY BAY,86,74,66,45
2/1/2024,17,CAUSEWAY BAY,84,79,66,49
2/1/2024,18,CAUSEWAY BAY,72,74,72,46
2/1/2024,19,CAUSEWAY BAY,97,71,46,46
2/1/2024,20,CAUSEWAY BAY,110,68,31,48
2/1/2024,21,CAUSEWAY BAY,92,59,41,43
2/1/2024,22,CAUSEWAY BAY,110,60,21,43
2/1/2024,23,CAUSEWAY BAY,79,62,52,44
2/1/2024,24,CAUSEWAY BAY,65,61,65,42
3/1/2024,01,CAUSEWAY BAY,64,54,63,38
3/1/2024,02,CAUSEWAY BAY,72,45,57,32
3/1/2024,03,CAUSEWAY BAY,43,39,90,27
3/1/2024,04,CAUSEWAY BAY,54,36,70,25
3/1/2024,05,CAUSEWAY BAY,N.A.,48,46,33
3/1/2024,06,CAUSEWAY BAY,51,70,58,49
3/1/2024,07,CAUSEWAY BAY,55,91,41,64
3/1/2024,08,CAUSEWAY BAY,78,109,15,76
3/1/2024,09,CAUSEWAY BAY,74,104,11,75
3/1/2024,10,CAUSEWAY BAY,69,80,14,57
3/1/2024,11,CAUSEWAY BAY,78,53,16,31
3/1/2024,12,CAUSEWAY BAY,99,49,13,29
3/1/2024,13,CAUSEWAY BAY,102,62,16,38
